Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
BNP Paribas,2004,11,1,paris,1/11/2004,2736674.6,Moquette,1,$
Masters Cup,2004,11,15,houston,15/11/2004,4602589.1,Dur,0,$
Next Generation Hardcourts,2005,1,3,adélaïde,3/01/2005,490180.916,Dur,0,$
TATA Open,2005,1,3,chennai,3/01/2005,441660.47,Dur,0,$
Qatar Exxon Mobil Open,2005,1,3,doha,3/01/2005,1213011.15,Dur,0,$
Heineken Open,2005,1,9,auckland,10/01/2005,498889.714,Dur,0,$
Medibank International,2005,1,10,sydney,10/01/2005,490180.916,Dur,0,$
Australian Open,2005,1,17,melbourne,17/01/2005,8389613.089,Dur,0,$
International Championships,2005,1,31,delray beach,31/01/2005,441660.47,Dur,0,$
Internazionali di Lombardia,2005,1,31,viña del mar,31/01/2005,441660.47,Terre,0,$
Bellsouth Open,2005,1,31,milan,31/01/2005,441660.47,Moquette,1,$
ATP Buenos Aires 2005,2005,2,7,buenos aires,7/02/2005,441660.47,Terre,0,$
Open 13,2005,2,7,marseille,7/02/2005,715365.55,Dur,1,$
SAP Open,2005,2,7,san josé,7/02/2005,441660.47,Dur,1,$
Brasil Open,2005,2,14,memphis,14/02/2005,827335.81,Dur,1,$
Regions Morgan Keegan Championships,2005,2,14,rotterdam,14/02/2005,1119702.6,Dur,1,$
ABN AMRO World Tennis Tournament,2005,2,14,costa do sauípe,14/02/2005,441660.47,Terre,0,$
Abierto Mexicano,2005,2,21,acapulco,21/02/2005,768862.452,Terre,0,$
Dubai Duty Free Men's Open,2005,2,21,dubaï,21/02/2005,1213011.15,Dur,0,$
Channel Open,2005,2,21,scottsdale,21/02/2005,441660.47,Dur,0,$
Pacific Life Open,2005,3,11,indian wells,7/03/2005,3389713.004,Dur,0,$
NASDAQ-100 Open,2005,3,23,miami,21/03/2005,3981164.8,Dur,0,$
Grand Prix Hassan II,2005,4,4,casablanca,4/04/2005,441660.47,Terre,0,$
Open de Tenis Comunidad Valenciana,2005,4,4,valence,4/04/2005,466542.75,Terre,0,$
Monte Carlo Masters,2005,4,11,monte-carlo,11/04/2005,2737050.8,Terre,0,$
Open Seat Godo,2005,4,18,barcelone,18/04/2005,1119702.6,Terre,0,$
U.S. Men's Clay Court Championships,2005,4,18,houston,18/04/2005,441660.47,Terre,0,$
Estoril Open,2005,4,25,estoril,25/04/2005,746468.4,Terre,0,$
BMW Open,2005,4,26,munich,25/04/2005,441660.47,Terre,0,$
Telecom Italia Masters Roma,2005,5,2,rome,2/05/2005,2737050.8,Terre,0,$
Hamburg TMS,2005,5,9,hambourg,9/05/2005,2737050.8,Terre,0,$
Internationaler Raiffeisen Grand Prix,2005,5,15,sankt pölten,16/05/2005,441660.47,Terre,0,$
French Open,2005,5,23,paris,23/05/2005,9943449.269,Terre,0,$
Gerry Weber Open,2005,6,6,halle (westf.),6/06/2005,964188.35,Gazon,0,$
Stella Artois,2005,6,6,londres,6/06/2005,964188.35,Gazon,0,$
Ordina Open,2005,6,13,bois-le-duc,13/06/2005,441660.47,Gazon,0,$
Nottingham Open,2005,6,13,nottingham,13/06/2005,441660.47,Gazon,0,$
Wimbledon,2005,6,20,wimbledon,20/06/2005,10720272.81,Gazon,0,$
Swedish Open,2005,7,4,båstad,4/07/2005,441660.47,Terre,0,$
Allianz Suisse Open,2005,7,4,gstaad,4/07/2005,584733.58,Terre,0,$
Hall of Fame Championships,2005,7,4,newport,4/07/2005,441660.47,Gazon,0,$
Priority Telecom Dutch Open,2005,7,18,amersfoort,18/07/2005,441660.47,Terre,0,$
RCA Championships,2005,7,18,indianapolis,18/07/2005,715365.55,Dur,0,$
Mercedes Cup,2005,7,18,stuttgart,18/07/2005,827335.81,Terre,0,$
Generali Open,2005,7,25,kitzbühel,25/07/2005,914423.79,Terre,0,$
Mercedes-Benz Cup,2005,7,25,los angeles,25/07/2005,441660.47,Dur,0,$
Croatia Open,2005,7,25,umag,25/07/2005,466542.75,Terre,0,$
Idea Prokom Open,2005,8,1,sopot,1/08/2005,590954.15,Terre,0,$
Legg Mason Classic,2005,8,1,washington,1/08/2005,715365.55,Dur,0,$
Rogers Cup,2005,8,8,montréal,8/08/2005,2737050.8,Dur,0,$
Western & Southern Financial Group Masters,2005,8,15,cincinnati,15/08/2005,2737050.8,Dur,0,$
Pilot Pen Tennis,2005,8,22,new haven,22/08/2005,808674.1,Dur,0,$
US Open,2005,8,29,flushing meadows,29/08/2005,9890706.3,Dur,0,$
China Open,2005,9,12,pékin,12/09/2005,590954.15,Dur,0,$
Open Romania,2005,9,12,bucarest,12/09/2005,441660.47,Terre,0,$
Thailand Open,2005,9,26,bangkok,26/09/2005,653159.85,Dur,1,$
Vietnam Open,2005,9,26,hô-chi-minh-ville,26/09/2005,441660.47,Moquette,1,$
Campionati Internazionali Di Sicilia,2005,9,26,palerme,26/09/2005,441660.47,Terre,0,$
Open de Moselle,2005,10,3,metz,3/10/2005,441660.47,Dur,1,$
Japan Open,2005,10,3,tokyo,3/10/2005,827335.81,Dur,0,$
Kremlin Cup,2005,10,10,stockholm,10/10/2005,964188.35,Dur,1,$
Stockholm Open,2005,10,10,vienne,10/10/2005,826091.696,Dur,1,$
BA-CA Tennis Trophy,2005,10,10,moscou,10/10/2005,1213011.15,Moquette,1,$
Madrid Masters,2005,10,17,madrid,17/10/2005,2737050.8,Dur,1,$
Davidoff Swiss Indoors,2005,10,25,bâle,24/10/2005,1213011.15,Moquette,1,$
Grand Prix de Lyon,2005,10,24,lyon,24/10/2005,964188.35,Moquette,1,$
St. Petersburg Open,2005,10,24,saint-pétersbourg,24/10/2005,1213011.15,Moquette,1,$
BNP Paribas,2005,10,31,paris,31/10/2005,2737050.8,Moquette,1,$
Masters Cup,2005,11,13,shanghai,14/11/2005,4603221.8,Moquette,1,$
Next Generation Adelaide International,2006,1,2,adélaïde,2/01/2006,494715.462,Dur,0,$
Chennai Open,2006,1,2,chennai,2/01/2006,445746.165,Dur,0,$
Qatar Exxon Mobil Open,2006,1,2,doha,2/01/2006,1224232.425,Dur,0,$
Heineken Open,2006,1,8,auckland,9/01/2006,508527.315,Dur,0,$
Sydney International,2006,1,9,sydney,9/01/2006,494715.462,Dur,0,$
Australian Open,2006,1,16,melbourne,16/01/2006,8518885.994,Dur,0,$
International Championships,2006,1,30,delray beach,30/01/2006,445746.165,Dur,0,$
Movistar Open,2006,1,30,viña del mar,30/01/2006,445746.165,Terre,0,$
PBZ Zagreb Indoors,2006,1,30,zagreb,30/01/2006,445746.165,Moquette,1,$
Copa Telmex,2006,2,13,buenos aires,13/02/2006,502249.2,Terre,0,$
Open 13,2006,2,13,marseille,13/02/2006,721983.225,Dur,1,$
SAP Open,2006,2,13,san josé,13/02/2006,445746.165,Dur,1,$
Brasil Open,2006,2,20,memphis,20/02/2006,834989.295,Dur,1,$
Regions Morgan Keegan Championships,2006,2,20,rotterdam,20/02/2006,1130060.7,Dur,1,$
ABN AMRO World Tennis Tournament,2006,2,20,costa do sauípe,20/02/2006,445746.165,Terre,0,$
Abierto Mexicano,2006,2,27,acapulco,27/02/2006,834989.295,Terre,0,$
Dubai Tennis Championships,2006,2,27,dubaï,27/02/2006,1224232.425,Dur,0,$
Channel Open,2006,2,27,las vegas,27/02/2006,445746.165,Dur,0,$
Pacific Life Open,2006,3,10,indian wells,6/03/2006,3665916.911,Dur,0,$
NASDAQ-100 Open,2006,3,22,miami,20/03/2006,4017993.6,Dur,0,$
U.S. Men's Clay Court Championships,2006,4,10,houston,10/04/2006,445746.165,Terre,0,$
Open de Tenis Comunidad Valenciana,2006,4,10,valence,10/04/2006,470858.625,Terre,0,$
Monte Carlo Masters,2006,4,17,monte-carlo,17/04/2006,2762370.6,Terre,0,$
Open Seat Godo,2006,4,24,barcelone,24/04/2006,1130060.7,Terre,0,$
Grand Prix Hassan II,2006,4,24,casablanca,24/04/2006,445746.165,Terre,0,$
Estoril Open,2006,5,1,estoril,1/05/2006,753373.8,Terre,0,$
BMW Open,2006,5,1,munich,1/05/2006,445746.165,Terre,0,$
Campionati Internazional d'Italia,2006,5,8,rome,8/05/2006,2762370.6,Terre,0,$
Hamburg TMS,2006,5,15,hambourg,15/05/2006,2762370.6,Terre,0,$
Hypo Group Tennis International,2006,5,22,pörtschach,22/05/2006,445746.165,Terre,0,$
French Open,2006,5,28,paris,29/05/2006,10727654.92,Terre,0,$
Gerry Weber Open,2006,6,12,halle (westf.),12/06/2006,973107.825,Gazon,0,$
Stella Artois,2006,6,12,londres,12/06/2006,973107.825,Gazon,0,$
Ordina Open,2006,6,18,bois-le-duc,19/06/2006,445746.165,Gazon,0,$
Red Letter Days Open,2006,6,19,nottingham,19/06/2006,445746.165,Gazon,0,$
Wimbledon,2006,6,27,wimbledon,26/06/2006,11108921.08,Gazon,0,$
Synsam Swedish Open,2006,7,10,båstad,10/07/2006,445746.165,Terre,0,$
Allianz Suisse Open,2006,7,10,gstaad,10/07/2006,590142.81,Terre,0,$
Hall of Fame Championships,2006,7,10,newport,10/07/2006,445746.165,Gazon,0,$
Dutch Open,2006,7,17,amersfoort,17/07/2006,445746.165,Terre,0,$
RCA Championships,2006,7,17,indianapolis,17/07/2006,721983.225,Dur,0,$
Mercedes Cup,2006,7,17,stuttgart,17/07/2006,834989.295,Terre,0,$
Generali Open,2006,7,24,kitzbühel,24/07/2006,922882.905,Terre,0,$
Countrywide Classic,2006,7,24,los angeles,24/07/2006,596420.925,Dur,0,$
Croatia Open,2006,7,24,umag,24/07/2006,470858.625,Terre,0,$
Idea Prokom Open,2006,7,31,sopot,31/07/2006,596420.925,Terre,0,$
Legg Mason Classic,2006,7,31,washington,31/07/2006,721983.225,Dur,0,$
Rogers Masters,2006,8,7,toronto,7/08/2006,2762370.6,Dur,0,$
Western & Southern Financial Group Masters,2006,8,14,cincinnati,14/08/2006,2762370.6,Dur,0,$
Pilot Pen Tennis,2006,8,20,new haven,21/08/2006,816154.95,Dur,0,$
US Open,2006,8,28,flushing meadows,28/08/2006,10461850.84,Dur,0,$
China Open,2006,9,11,pékin,11/09/2006,596420.925,Dur,0,$
Open Romania,2006,9,11,bucarest,11/09/2006,445746.165,Terre,0,$
Thailand Open,2006,9,26,bangkok,25/09/2006,659202.075,Dur,1,$
Kingfisher Airlines Tennis Open,2006,9,25,bombay,25/09/2006,445746.165,Dur,0,$
Campionati Internazionali Di Sicilia,2006,9,25,palerme,25/09/2006,445746.165,Terre,0,$
Open de Moselle,2006,10,2,metz,2/10/2006,445746.165,Dur,1,$
Japan Open,2006,10,2,tokyo,2/10/2006,834989.295,Dur,0,$
Kremlin Cup,2006,10,9,stockholm,9/10/2006,973107.825,Dur,1,$
Stockholm Open,2006,10,9,vienne,9/10/2006,834989.295,Dur,1,$
BA-CA Tennis Trophy,2006,10,9,moscou,9/10/2006,1224232.425,Moquette,1,$
Madrid Masters,2006,10,16,madrid,16/10/2006,2762370.6,Dur,1,$
Davidoff Swiss Indoors,2006,10,24,bâle,23/10/2006,1224232.425,Moquette,1,$
Grand Prix de Lyon,2006,10,23,lyon,23/10/2006,973107.825,Moquette,1,$
St. Petersburg Open,2006,10,23,saint-pétersbourg,23/10/2006,1224232.425,Moquette,1,$
BNP Paribas,2006,10,30,paris,30/10/2006,2762370.6,Moquette,1,$
Masters Cup,2006,11,12,shanghai,13/11/2006,4645805.1,Dur,1,$
Next Generation Adelaide International,2007,1,1,adélaïde,1/01/2007,563266.458,Dur,0,$
Chennai Open,2007,1,1,chennai,1/01/2007,535856.898,Dur,0,$
Qatar Exxon Mobil Open,2007,1,1,doha,1/01/2007,1336216.05,Dur,0,$
Heineken Open,2007,1,7,auckland,8/01/2007,535856.898,Dur,0,$
Sydney International,2007,1,8,sydney,8/01/2007,563266.458,Dur,0,$
Australian Open,2007,1,15,melbourne,15/01/2007,10000446.49,Dur,0,$
International Championships,2007,1,29,delray beach,28/01/2007,535856.898,Dur,0,$
Movistar Open,2007,1,29,viña del mar,29/01/2007,579712.194,Terre,0,$
PBZ Zagreb Indoors,2007,1,29,zagreb,29/01/2007,535856.898,Moquette,1,$
Brasil Open,2007,2,12,costa do sauípe,12/02/2007,590676.018,Terre,0,$
Open 13,2007,2,12,marseille,12/02/2007,788024.85,Dur,1,$
SAP Open,2007,2,12,san josé,12/02/2007,535856.898,Dur,1,$
Copa Telmex,2007,2,19,buenos aires,19/02/2007,575600.76,Terre,0,$
Regions Morgan Keegan Championships,2007,2,19,memphis,19/02/2007,1003189.896,Dur,1,$
ABN AMRO World Tennis Tournament,2007,2,19,rotterdam,19/02/2007,1233430.2,Dur,1,$
Abierto Mexicano,2007,2,27,acapulco,26/02/2007,1003189.896,Terre,0,$
Dubai Tennis Championships,2007,2,26,dubaï,26/02/2007,1920382.298,Dur,0,$
Channel Open,2007,2,26,las vegas,26/02/2007,535856.898,Dur,0,$
Pacific Life Open,2007,3,9,indian wells,5/03/2007,4159400.73,Dur,0,$
Sony Ericsson Open,2007,3,21,miami,19/03/2007,4385529.6,Dur,0,$
U.S. Men's Clay Court Championships,2007,4,9,houston,9/04/2007,535856.898,Terre,0,$
Open de Tenis Comunidad Valenciana,2007,4,9,valence,9/04/2007,535856.898,Terre,0,$
Monte Carlo Masters,2007,4,15,monte-carlo,15/04/2007,3015051.6,Terre,0,$
Open Seat Godo,2007,4,23,barcelone,23/04/2007,1233430.2,Terre,0,$
Grand Prix Hassan II,2007,4,23,casablanca,23/04/2007,535856.898,Terre,0,$
Estoril Open,2007,4,29,estoril,29/04/2007,822286.8,Terre,0,$
BMW Open,2007,4,30,munich,30/04/2007,535856.898,Terre,0,$
Internazionali BNL d'Italia,2007,5,7,rome,7/05/2007,3015051.6,Terre,0,$
Hamburg TMS,2007,5,14,hambourg,14/05/2007,3015051.6,Terre,0,$
Hypo Group Tennis International,2007,5,20,pörtschach,20/05/2007,535856.898,Terre,0,$
French Open,2007,5,27,paris,28/05/2007,12793316.2,Terre,0,$
Gerry Weber Open,2007,6,11,halle (westf.),11/06/2007,1062120.45,Gazon,0,$
Stella Artois,2007,6,11,londres,11/06/2007,1062120.45,Gazon,0,$
Ordina Open,2007,6,17,bois-le-duc,17/06/2007,535856.898,Gazon,0,$
The Nottingham Open,2007,6,18,nottingham,18/06/2007,535856.898,Gazon,0,$
Wimbledon,2007,6,25,wimbledon,25/06/2007,13758489.03,Gazon,0,$
Catella Swedish Open,2007,7,9,båstad,9/07/2007,535856.898,Terre,0,$
Allianz Suisse Open,2007,7,9,gstaad,9/07/2007,645495.138,Terre,0,$
Hall of Fame Championships,2007,7,9,newport,9/07/2007,535856.898,Gazon,0,$
Dutch Open,2007,7,16,amersfoort,16/07/2007,535856.898,Terre,0,$
Countrywide Classic,2007,7,16,los angeles,16/07/2007,685239,Dur,0,$
Mercedes Cup,2007,7,16,stuttgart,16/07/2007,1003189.896,Terre,0,$
Indianapolis Tennis Championships,2007,7,23,indianapolis,23/07/2007,685239,Dur,0,$
Austrian Open,2007,7,23,kitzbühel,23/07/2007,1003189.896,Terre,0,$
Croatia Open,2007,7,23,umag,23/07/2007,535856.898,Terre,0,$
Idea Prokom Open,2007,7,30,washington,29/07/2007,788024.85,Dur,0,$
Legg Mason Classic,2007,7,29,sopot,30/07/2007,650977.05,Terre,0,$
Rogers Masters,2007,8,5,montréal,5/08/2007,3015051.6,Dur,0,$
Western & Southern Financial Group Masters,2007,8,13,cincinnati,13/08/2007,3015051.6,Dur,0,$
Pilot Pen Tennis,2007,8,19,new haven,19/08/2007,890810.7,Dur,0,$
US Open,2007,8,27,flushing meadows,27/08/2007,12125989.34,Dur,0,$
China Open,2007,9,10,pékin,10/09/2007,650977.05,Dur,0,$
Open Romania,2007,9,10,bucarest,10/09/2007,535856.898,Terre,0,$
Thailand Open,2007,9,25,bangkok,24/09/2007,719500.95,Dur,1,$
Kingfisher Airlines Tennis Open,2007,9,24,bombay,24/09/2007,535856.898,Dur,0,$
Open de Moselle,2007,10,1,metz,1/10/2007,535856.898,Dur,1,$
AIG Japan Open Tennis Championships,2007,10,1,tokyo,1/10/2007,1003189.896,Dur,0,$
Kremlin Cup,2007,10,8,stockholm,7/10/2007,1062120.45,Dur,1,$
Stockholm Open,2007,10,7,vienne,7/10/2007,1003189.896,Dur,1,$
BA-CA Tennis Trophy,2007,10,7,moscou,8/10/2007,1336216.05,Dur,1,$
Madrid Masters,2007,10,15,madrid,15/10/2007,3015051.6,Dur,1,$
Davidoff Swiss Indoors,2007,10,23,bâle,22/10/2007,1336216.05,Dur,1,$
Grand Prix de Lyon,2007,10,22,lyon,22/10/2007,1062120.45,Moquette,1,$
St. Petersburg Open,2007,10,22,saint-pétersbourg,22/10/2007,1336216.05,Moquette,1,$
BNP Paribas,2007,10,28,paris,28/10/2007,3015051.6,Dur,1,$
Masters Cup,2007,11,11,shanghai,12/11/2007,5207816.4,Dur,1,$
Next Generation Adelaide International,2008,1,1,adélaïde,31/12/2007,647132.2,Dur,0,$
Chennai Open,2008,1,1,chennai,31/12/2007,604480.305,Dur,0,$
Qatar Exxon Mobil Open,2008,1,1,doha,31/12/2007,1506053.12,Dur,0,$
Heineken Open,2008,1,7,auckland,7/01/2008,645661.445,Dur,0,$
Medibank International,2008,1,7,sydney,7/01/2008,647132.2,Dur,0,$
Australian Open,2008,1,14,melbourne,14/01/2008,14132.4848,Dur,0,$
Movistar Open,2008,1,28,viña del mar,28/01/2008,642719.935,Terre,0,$
Brasil Open,2008,2,11,costa do sauípe,11/02/2008,676547.3,Terre,0,$
International Championships,2008,2,11,delray beach,11/02/2008,604480.305,Dur,0,$
Open 13,2008,2,11,marseille,11/02/2008,513000,Dur,1,€
Copa Telmex,2008,2,18,buenos aires,18/02/2008,648602.955,Terre,0,$
ABN AMRO World Tennis Tournament,2008,2,18,rotterdam,18/02/2008,803000,Dur,1,€
SAP Open,2008,2,18,san josé,18/02/2008,604480.305,Dur,1,$
Abierto Mexicano,2008,2,25,acapulco,25/02/2008,1131010.595,Terre,0,$
Regions Morgan Keegan Championships,2008,2,25,memphis,25/02/2008,1131010.595,Dur,1,$
PBZ Zagreb Indoors,2008,2,25,zagreb,25/02/2008,349000,Dur,1,€
Dubai Tennis Championships,2008,3,3,dubaï,3/03/2008,2060527.755,Dur,0,$
Channel Open,2008,3,3,las vegas,3/03/2008,604480.305,Dur,0,$
Pacific Life Open,2008,3,13,indian wells,13/03/2008,4910850.945,Dur,0,$
Sony Ericsson Open,2008,3,26,miami,27/03/2008,5177057.6,Dur,0,$
Estoril Open,2008,4,14,estoril,14/04/2008,349000,Terre,0,€
U.S. Men's Clay Court Championships,2008,4,14,houston,14/04/2008,604480.305,Terre,0,$
Open de Tenis Comunidad Valenciana,2008,4,14,valence,14/04/2008,349000,Terre,0,€
Monte Carlo Masters,2008,4,20,monte-carlo,20/04/2008,2057000,Terre,0,€
Open Sabadell Atlántico 2008,2008,4,28,barcelone,28/04/2008,803000,Terre,0,€
BMW Open,2008,4,28,munich,28/04/2008,349000,Terre,0,€
Internazionali BNL d'Italia,2008,5,5,rome,5/05/2008,2057000,Terre,0,€
Hamburg TMS,2008,5,11,hambourg,11/05/2008,2057000,Terre,0,€
Grand Prix Hassan II,2008,5,18,casablanca,18/05/2008,349000,Terre,0,€
Hypo Group Tennis International,2008,5,19,pörtschach,18/05/2008,349000,Terre,0,€
French Open,2008,5,25,paris,25/05/2008,7077680,Terre,0,€
Gerry Weber Open,2008,6,9,halle (westf.),9/06/2008,692000,Gazon,0,€
Stella Artois,2008,6,9,londres,9/06/2008,692000,Gazon,0,€
Orange Prokom Open,2008,6,9,varsovie,9/06/2008,404000,Terre,0,€
Ordina Open,2008,6,15,bois-le-duc,15/06/2008,349000,Gazon,0,€
Slazenger Open,2008,6,16,nottingham,16/06/2008,349000,Gazon,0,€
Wimbledon,2008,6,23,wimbledon,23/06/2008,4186070.245,Gazon,0,£
Catella Swedish Open,2008,7,7,båstad,7/07/2008,305000,Terre,0,€
Allianz Suisse Open,2008,7,7,gstaad,7/07/2008,368000,Terre,0,€
Hall of Fame Championships,2008,7,7,newport,7/07/2008,529471.8,Gazon,0,$
Mercedes Cup,2008,7,7,stuttgart,7/07/2008,547000,Terre,0,€
Dutch Open,2008,7,14,amersfoort,14/07/2008,305000,Terre,0,€
Indianapolis Tennis Championships,2008,7,14,indianapolis,14/07/2008,735377.5,Dur,0,$
Austrian Open,2008,7,15,kitzbühel,14/07/2008,550000,Terre,0,€
Studena Croatia Open,2008,7,14,umag,14/07/2008,305000,Terre,0,€
Rogers Masters,2008,7,21,toronto,21/07/2008,3478335.575,Dur,0,$
Western & Southern Financial Group Masters,2008,7,28,cincinnati,28/07/2008,3478335.575,Dur,0,$
Countrywide Classic,2008,8,4,los angeles,4/08/2008,661839.75,Dur,0,$
Legg Mason Classic,2008,8,10,washington,10/08/2008,710374.665,Dur,0,$
Pilot Pen Tennis,2008,8,17,new haven,17/08/2008,1004525.665,Dur,0,$
US Open,2008,8,25,flushing meadows,25/08/2008,13751559.25,Dur,0,$
Open Romania,2008,9,8,bucarest,8/09/2008,349000,Terre,0,€
Thailand Open,2008,9,23,bangkok,22/09/2008,810386.005,Dur,1,$
China Open,2008,9,22,pékin,22/09/2008,733906.745,Dur,0,$
Open de Moselle,2008,9,29,metz,29/09/2008,349000,Dur,1,€
AIG Japan Open Tennis Championships,2008,9,29,tokyo,29/09/2008,1131010.595,Dur,0,$
Kremlin Cup,2008,10,6,moscou,6/10/2008,1506053.12,Dur,1,$
Stockholm Open,2008,10,6,stockholm,6/10/2008,692000,Dur,1,€
BA-CA Tennis Trophy,2008,10,6,vienne,6/10/2008,653000,Dur,1,€
Madrid Masters,2008,10,12,madrid,12/10/2008,2057000,Dur,1,€
Davidoff Swiss Indoors,2008,10,20,bâle,20/10/2008,870000,Dur,1,€
Grand Prix de Lyon,2008,10,20,lyon,20/10/2008,692000,Moquette,1,€
St. Petersburg Open,2008,10,20,saint-pétersbourg,20/10/2008,1506053.12,Dur,1,$
BNP Paribas,2008,10,26,paris,26/10/2008,2057000,Dur,1,€
Masters Cup,2008,11,9,shanghai,9/11/2008,5588869,Dur,1,$
Brisbane International,2009,1,4,brisbane,4/01/2009,603930.647,Dur,0,$
Chennai Open,2009,1,5,chennai,5/01/2009,555462.7718,Dur,0,$
Qatar Exxon Mobil Open,2009,1,5,doha,5/01/2009,1428233.216,Dur,0,$
Heineken Open,2009,1,12,auckland,12/01/2009,598351.611,Dur,0,$
Medibank International,2009,1,12,sydney,12/01/2009,603930.647,Dur,0,$
Australian Open,2009,1,19,melbourne,19/01/2009,18989545,Dur,0,AU$
SA Tennis Open,2009,2,2,johannesburg,2/02/2009,617180.8575,Dur,0,$
Movistar Open,2009,2,2,viña del mar,2/02/2009,620667.755,Terre,0,$
PBZ Zagreb Indoors,2009,2,2,zagreb,2/02/2009,398250,Dur,1,€
Brasil Open,2009,2,9,costa do sauípe,9/02/2009,704353.295,Terre,0,$
ABN AMRO World Tennis Tournament,2009,2,9,rotterdam,9/02/2009,1150000,Dur,1,€
SAP Open,2009,2,9,san josé,9/02/2009,740617.029,Dur,1,$
Copa Telmex,2009,2,16,buenos aires,16/02/2009,740617.029,Terre,0,$
Open 13,2009,2,16,marseille,16/02/2009,512750,Dur,1,€
Regions Morgan Keegan Championships,2009,2,16,memphis,16/02/2009,1534234.9,Dur,1,$
Abierto Mexicano,2009,2,23,acapulco,23/02/2009,1534234.9,Terre,0,$
International Championships,2009,2,23,delray beach,23/02/2009,617180.8575,Dur,0,$
Dubai Tennis Championships,2009,2,23,dubaï,23/02/2009,2258812.201,Dur,0,$
BNP Paribas Open,2009,3,12,indian wells,12/03/2009,5083896.555,Dur,0,$
Sony Ericsson Open,2009,3,25,miami,25/03/2009,5083896.555,Dur,0,$
Grand Prix Hassan II,2009,4,6,casablanca,6/04/2009,398250,Terre,0,€
U.S. Men's Clay Court Championships,2009,4,6,houston,6/04/2009,617180.8575,Terre,0,$
Monte Carlo Masters,2009,4,12,monte-carlo,12/04/2009,2227500,Terre,0,€
Open Banco Sabadell,2009,4,20,barcelone,20/04/2009,1550000,Terre,0,€
Internazionali BNL d'Italia,2009,4,27,rome,27/04/2009,2227500,Terre,0,€
Serbia Open,2009,5,5,estoril,3/05/2009,398250,Terre,0,€
Estoril Open,2009,5,3,munich,3/05/2009,398250,Terre,0,€
BMW Open,2009,5,3,belgrade,4/05/2009,398250,Terre,0,€
Mutua Madrileña Madrid Open,2009,5,10,madrid,10/05/2009,2835000,Terre,0,€
Austrian Open,2009,5,17,kitzbühel,17/05/2009,398250,Terre,0,€
French Open,2009,5,24,paris,25/05/2009,7322320,Terre,0,€
Gerry Weber Open,2009,6,8,halle (westf.),8/06/2009,663750,Gazon,0,€
AEGON Championships,2009,6,8,londres,8/06/2009,663750,Gazon,0,€
AEGON International,2009,6,14,eastbourne,14/06/2009,398250,Gazon,0,€
Ordina Open,2009,6,14,bois-le-duc,14/06/2009,398250,Gazon,0,€
Wimbledon,2009,6,22,wimbledon,22/06/2009,5003918.806,Gazon,0,£
Hall of Fame Championships,2009,7,6,newport,6/07/2009,617180.8575,Gazon,0,$
Catella Swedish Open,2009,7,13,båstad,13/07/2009,398250,Terre,0,€
Mercedes Cup,2009,7,13,stuttgart,13/07/2009,398250,Terre,0,€
International German Open,2009,7,20,hambourg,19/07/2009,1000000,Terre,0,€
Indianapolis Tennis Championships,2009,7,19,indianapolis,19/07/2009,627641.55,Dur,0,$
Allianz Suisse Open,2009,7,26,gstaad,26/07/2009,398250,Terre,0,€
LA Tennis Open,2009,7,27,los angeles,27/07/2009,767117.45,Dur,0,$
Studena Croatia Open,2009,7,28,umag,27/07/2009,398250,Terre,0,€
Legg Mason Classic,2009,8,2,washington,2/08/2009,1625591.615,Dur,0,$
Rogers Masters,2009,8,10,montréal,10/08/2009,3389264.37,Dur,0,$
Western & Southern Financial Group Masters,2009,8,17,cincinnati,16/08/2009,3389264.37,Dur,0,$
Pilot Pen Tennis,2009,8,23,new haven,23/08/2009,925771.2863,Dur,0,$
US Open,2009,8,31,flushing meadows,31/08/2009,13607268.8,Dur,0,$
Open Romania,2009,9,21,bucarest,21/09/2009,398250,Terre,0,€
Open de Moselle,2009,9,21,metz,21/09/2009,398250,Dur,1,€
Thailand Open,2009,9,28,bangkok,28/09/2009,768512.209,Dur,1,$
Proton Malaysian Open,2009,9,28,kuala lumpur,28/09/2009,1185545.15,Dur,1,$
China Open,2009,10,5,pékin,5/10/2009,2929691.28,Dur,0,$
Rakuten Japan Open Tennis Championships,2009,10,5,tokyo,5/10/2009,1534234.9,Dur,0,$
Shanghai Masters,2009,10,11,shanghai,11/10/2009,4519019.16,Dur,0,$
Kremlin Cup,2009,10,19,moscou,19/10/2009,1394759,Dur,1,$
Stockholm Open,2009,10,19,stockholm,19/10/2009,531000,Dur,1,€
Grand Prix de Lyon,2009,10,26,saint-pétersbourg,25/10/2009,925771.2863,Dur,1,$
St. Petersburg Open,2009,10,25,lyon,26/10/2009,575250,Dur,1,€
BA-CA Tennis Trophy,2009,10,26,vienne,26/10/2009,500000,Dur,1,€
Davidoff Swiss Indoors,2009,11,2,bâle,2/11/2009,1225000,Dur,1,€
Valencia Open 500,2009,11,2,valence,2/11/2009,1357000,Dur,1,€
BNP Paribas Masters,2009,11,8,paris,8/11/2009,2227500,Dur,1,€
Masters Cup,2009,11,22,londres,22/11/2009,6973795,Dur,1,$
Brisbane International,2010,1,4,brisbane,4/01/2010,493821.3875,Dur,0,$
Chennai Open,2010,1,4,chennai,4/01/2010,527958.0338,Dur,0,$
Qatar Exxon Mobil Open,2010,1,4,doha,4/01/2010,1357511.68,Dur,0,$
Heineken Open,2010,1,10,sydney,11/01/2010,493821.3875,Dur,0,$
