03/01/2005,"Next Generation Hardcourt, Adélaïde",Int' Series,394 000 $,Dur (ext.)
03/01/2005,"Chennai Open, Chennai",Int' Series,355 000 $,Dur (ext.)
03/01/2005,"Qatar ExxonMobil Open, Doha",Int' Series,975 000 $,Dur (ext.)
10/01/2005,"Heineken Open, Auckland",Int' Series,401 000 $,Dur (ext.)
10/01/2005,"Medibank International, Sydney",Int' Series,394 000 $,Dur (ext.)
17/01/2005,"Australian Open, Melbourne",G. Chelem,6 743 444 $,Dur (ext.)
31/01/2005,"Millennium Tennis Championships, Delray Beach",Int' Series,355 000 $,Dur (ext.)
31/01/2005,"BellSouth Open by Rosen, Viña del Mar",Int' Series,355 000 $,Terre (ext.)
31/01/2005,"Internazionali di Lombardia, Milan",Int' Series,355 000 $,Moquette (int.)
07/02/2005,"ATP Buenos Aires, Buenos Aires",Int' Series,355 000 $,Terre (ext.)
07/02/2005,"Open 13, Marseille",Int' Series,575 000 $,Dur (int.)
07/02/2005,"SAP Open, San José",Int' Series,355 000 $,Dur (int.)
14/02/2005,"Regions Morgan Keegan Championships, Memphis",Series Gold,665 000 $,Dur (int.)
14/02/2005,"ABN AMRO World Tennis Tournament, Rotterdam",Series Gold,900 000 $,Dur (int.)
14/02/2005,"Brasil Open, Costa do Sauípe",Int' Series,355 000 $,Terre (ext.)
21/02/2005,"Abierto Mexicano Telcel, Acapulco",Series Gold,618 000 $,Terre (ext.)
21/02/2005,"The Dubai Tennis Championships, Dubaï",Series Gold,975 000 $,Dur (ext.)
21/02/2005,"Tennis Channel Open, Scottsdale",Int' Series,355 000 $,Dur (ext.)
07/03/2005,"Pacific Life Open, Indian Wells",Masters Series,2 724 600 $,Dur (ext.)
21/03/2005,"NASDAQ-100 Open, Miami",Masters Series,3 200 000 $,Dur (ext.)
04/04/2005,"Grand-Prix Hassan II, Casablanca",Int' Series,355 000 $,Terre (ext.)
04/04/2005,"Open de Tenis Comunidad Valenciana, Valence",Int' Series,375 000 $,Terre (ext.)
11/04/2005,"ATP Master Series Monte Carlo, Monte-Carlo",Masters Series,2 200 000 $,Terre (ext.)
18/04/2005,"Open Seat Godó, Barcelone",Series Gold,900 000 $,Terre (ext.)
18/04/2005,"US Men's Clay Court Championship, Houston",Int' Series,355 000 $,Terre (ext.)
25/04/2005,"Estoril Open, Estoril",Int' Series,600 000 $,Terre (ext.)
25/04/2005,"BMW Open by Crédit suisse, Munich",Int' Series,355 000 $,Terre (ext.)
02/05/2005,"Telecom Italia Masters, Rome",Masters Series,2 200 000 $,Terre (ext.)
09/05/2005,"Masters Series Hamburg presented by EON Hanse, Hambourg",Masters Series,2 200 000 $,Terre (ext.)
16/05/2005,"International BTM Power Grand Prix, Sankt Pölten",Int' Series,355 000 $,Terre (ext.)
23/05/2005,"Roland-Garros, Paris",G. Chelem,7 992 394 $,Terre (ext.)
06/06/2005,"Gerry Weber Open, Halle (Westf.)",Int' Series,775 000 $,Gazon (ext.)
06/06/2005,"The Stella Artois Championships, Londres",Int' Series,775 000 $,Gazon (ext.)
13/06/2005,"Ordina Open, Bois-le-Duc",Int' Series,355 000 $,Gazon (ext.)
13/06/2005,"The 10tele.com Open, Nottingham",Int' Series,355 000 $,Gazon (ext.)
20/06/2005,"The Championships, Wimbledon",G. Chelem,8 616 793 $,Gazon (ext.)
04/07/2005,"Synsam Swedish Open, Båstad",Int' Series,355 000 $,Terre (ext.)
04/07/2005,"Allianz Suisse Open, Gstaad",Int' Series,470 000 $,Terre (ext.)
04/07/2005,"Campbell’s Hall of Fame Tennis Championships, Newport",Int' Series,355 000 $,Gazon (ext.)
18/07/2005,"The Priority Telecom Open, Amersfoort",Int' Series,355 000 $,Terre (ext.)
18/07/2005,"RCA Championships, Indianapolis",Int' Series,575 000 $,Dur (ext.)
18/07/2005,"Mercedes Cup, Stuttgart",Series Gold,665 000 $,Terre (ext.)
25/07/2005,"Generali Open, Kitzbühel",Series Gold,735 000 $,Terre (ext.)
25/07/2005,"Mercedes-Benz Cup, Los Angeles",Int' Series,355 000 $,Dur (ext.)
25/07/2005,"Croatia Open, Umag",Int' Series,375 000 $,Terre (ext.)
01/08/2005,"Idea Prokom Open, Sopot",Int' Series,475 000 $,Terre (ext.)
01/08/2005,"Legg Mason Tennis Classic, Washington",Int' Series,575 000 $,Dur (ext.)
08/08/2005,"Rogers Cup presented by National Bank, Montréal",Masters Series,2 200 000 $,Dur (ext.)
15/08/2005,"Western & Southern Financial Group Masters, Cincinnati",Masters Series,2 200 000 $,Dur (ext.)
22/08/2005,"Pilot Pen Tennis by Michelob Ultra, New Haven",Int' Series,650 000 $,Dur (ext.)
29/08/2005,"US Open, Flushing Meadows",G. Chelem,7 950 000 $,Dur (ext.)
12/09/2005,"China Open, Pékin",Int' Series,475 000 $,Dur (ext.)
12/09/2005,"BCR Open Romania, Bucarest",Int' Series,355 000 $,Terre (ext.)
26/09/2005,"Thailand Open, Bangkok",Int' Series,525 000 $,Dur (int.)
26/09/2005,"Vietnam Open, Hô-Chi-Minh-Ville",Int' Series,355 000 $,Moquette (int.)
26/09/2005,"Campionati Internazionali di Sicilia, Palerme",Int' Series,355 000 $,Terre (ext.)
03/10/2005,"Open de Moselle, Metz",Int' Series,355 000 $,Dur (int.)
03/10/2005,"AIG Japan Open Championships, Tokyo",Series Gold,665 000 $,Dur (ext.)
10/10/2005,"If Stockholm Open, Stockholm",Int' Series,775 000 $,Dur (int.)
10/10/2005,"BA-CA Tennis Trophy, Vienne",Series Gold,664 000 $,Dur (int.)
10/10/2005,"Kremlin Cup, Moscou",Int' Series,975 000 $,Moquette (int.)
17/10/2005,"Mutua Madrileña Masters Madrid, Madrid",Masters Series,2 200 000 $,Dur (int.)
24/10/2005,"Davidoff Swiss Indoors Basel, Bâle",Int' Series,975 000 $,Moquette (int.)
