31/12/2012,"Brisbane International, Brisbane",ATP 250,436 630 $,Dur (ext.)
31/12/2012,"Qatar ExxonMobil Open, Doha",ATP 250,1 054 720 $,Dur (ext.)
31/12/2012,"Aircel Chennai Open, Chennai",ATP 250,385 150 $,Dur (ext.)
07/01/2013,"Apia International Sydney, Sydney",ATP 250,436 630 $,Dur (ext.)
07/01/2013,"Heineken Open, Auckland",ATP 250,433 400 $,Dur (ext.)
14/01/2013,"Australian Open, Melbourne",G. Chelem,16 000 000 AU$,Dur (ext.)
04/02/2013,"Open Sud de France, Montpellier",ATP 250,410 200 €,Dur (int.)
04/02/2013,"PBZ Zagreb Indoors, Zagreb",ATP 250,410 200 €,Dur (int.)
04/02/2013,"VTR Open Chile, Viña del Mar",ATP 250,410 200 $,Terre (ext.)
11/02/2013,"ABN AMRO World Tennis Tournament, Rotterdam",ATP 500,1 267 875 €,Dur (int.)
11/02/2013,"SAP Open, San José",ATP 250,546 930 $,Dur (int.)
11/02/2013,"Brasil Open, São Paulo",ATP 250,455 775 $,Terre (int.)
18/02/2013,"U.S. National Indoor Tennis Championships, Memphis",ATP 500,1 212 750 $,Dur (int.)
18/02/2013,"Open 13, Marseille",ATP 250,528 135 €,Dur (int.)
18/02/2013,"Copa Claro, Buenos Aires",ATP 250,493 670 $,Terre (ext.)
25/02/2013,"Dubai Duty Free Tennis Championships, Dubaï",ATP 500,1 785 500 $,Dur (ext.)
25/02/2013,"Abierto Mexicano Telcel, Acapulco",ATP 500,1 212 750 $,Terre (ext.)
25/02/2013,"Delray Beach International Tennis Championships, Delray Beach",ATP 250,455 775 $,Dur (ext.)
07/03/2013,"BNP Paribas Open, Indian Wells",Masters 1000,5 191 943 $,Dur (ext.)
20/03/2013,"Sony Open Tennis, Miami",Masters 1000,4 330 625 $,Dur (ext.)
08/04/2013,"Grand Prix Hassan II, Casablanca",ATP 250,410 200 €,Terre (ext.)
08/04/2013,"U.S. Men's Clay Court Championships, Houston",ATP 250,455 775 $,Terre (ext.)
15/04/2013,"Monte-Carlo Rolex Masters, Monte-Carlo",Masters 1000,2 646 495 €,Terre (ext.)
22/04/2013,"Barcelona Open Banc Sabadell, Barcelone",ATP 500,1 708 875 €,Terre (ext.)
22/04/2013,"BRD Nastase Tiriac Trophy, Bucarest",ATP 250,410 200 €,Terre (ext.)
29/04/2013,"Portugal Open, Oeiras",ATP 250,410 200 €,Terre (ext.)
29/04/2013,"BMW Open, Munich",ATP 250,410 200 €,Terre (ext.)
05/05/2013,"Mutua Madrid Open, Madrid",Masters 1000,3 368 265 €,Terre (ext.)
12/05/2013,"Internazionali BNL d'Italia, Rome",Masters 1000,2 646 795 €,Terre (ext.)
19/05/2013,"Power Horse Cup, Düsseldorf",ATP 250,410 200 €,Terre (ext.)
19/05/2013,"Open de Nice Côte d'Azur, Nice",ATP 250,410 200 €,Terre (ext.)
26/05/2013,"Roland-Garros, Paris",G. Chelem,11 315 000 €,Terre (ext.)
10/06/2013,"Gerry Weber Open, Halle (Westf.)",ATP 250,683 665 €,Gazon (ext.)
10/06/2013,"AEGON Championships, Londres",ATP 250,683 665 €,Gazon (ext.)
16/06/2013,"Topshelf Open, Bois-le-Duc",ATP 250,410 200 €,Gazon (ext.)
16/06/2013,"AEGON International, Eastbourne",ATP 250,468 460 €,Gazon (ext.)
24/06/2013,"The Championships, Wimbledon, Londres",G. Chelem,10 514 000 £,Gazon (ext.)
08/07/2013,"SkiStar Swedish Open, Båstad",ATP 250,433 770 €,Terre (ext.)
08/07/2013,"Mercedes Cup, Stuttgart",ATP 250,410 200 €,Terre (ext.)
08/07/2013,"Hall of Fame Tennis Championships, Newport",ATP 250,455 775 $,Gazon (ext.)
15/07/2013,"bet-at-home Open - German Tennis Championships, Hambourg",ATP 500,1 102 500 €,Terre (ext.)
15/07/2013,"Claro Open Colombia, Bogota",ATP 250,638 085 $,Dur (ext.)
22/07/2013,"BB&T Atlanta Open, Atlanta",ATP 250,546 930 $,Dur (ext.)
22/07/2013,"Crédit Agricole Suisse Open Gstaad, Gstaad",ATP 250,410 200 €,Terre (ext.)
22/07/2013,"ATP Vegeta Croatia Open Umag, Umag",ATP 250,410 200 €,Terre (ext.)
29/07/2013,"bet-at-home Cup Kitzbühel, Kitzbühel",ATP 250,410 200 €,Terre (ext.)
29/07/2013,"Citi Open, Washington D.C.",ATP 500,1 295 790 $,Dur (ext.)
05/08/2013,"Coupe Rogers, Montréal",Masters 1000,2 887 085 $,Dur (ext.)
12/08/2013,"Western & Southern Open, Cincinnati",Masters 1000,3 079 555 $,Dur (ext.)
18/08/2013,"Winston-Salem Open, Winston-Salem",ATP 250,575 250 $,Dur (ext.)
26/08/2013,"US Open, Flushing Meadows",G. Chelem,NC $,Dur (ext.)
16/09/2013,"Moselle Open, Metz",ATP 250,410 200 €,Dur (int.)
16/09/2013,"St. Petersburg Open, Saint-Pétersbourg",ATP 250,455 775 $,Dur (int.)
23/09/2013,"Malaysian Open, Kuala Lumpur, Kuala Lumpur",ATP 250,875 500 $,Dur (int.)
23/09/2013,"Thailand Open, Bangkok",ATP 250,567 530 $,Dur (int.)
30/09/2013,"China Open, Pékin",ATP 500,2 315 250 $,Dur (ext.)
30/09/2013,"Rakuten Japan Open Tennis Championships, Tokyo",ATP 500,1 297 000 $,Dur (ext.)
06/10/2013,"Shanghai Rolex Masters, Shanghai",Masters 1000,3 849 445 $,Dur (ext.)
14/10/2013,"Kremlin Cup, Moscou",ATP 250,746 750 $,Dur (int.)
14/10/2013,"If Stockholm Open, Stockholm",ATP 250,530 165 €,Dur (int.)
14/10/2013,"Erste Bank Open, Vienne",ATP 250,501 355 €,Dur (int.)
21/10/2013,"Valencia Open 500, Valence",ATP 500,1 496 095 €,Dur (int.)
21/10/2013,"Swiss Indoors Basel, Bâle",ATP 500,1 445 835 €,Dur (int.)
28/10/2013,"BNP Paribas Masters, Paris",Masters 1000,2 646 495 €,Dur (int.)
04/11/2013,"Barclays ATP World Tour Finals, Londres",Masters,6 000 000 $,Dur (int.)
