03/01/2016,"Brisbane International presented by Suncorp, Brisbane",ATP 250,404 780 $,Dur (ext.)
04/01/2016,"Qatar ExxonMobil Open, Doha",ATP 250,1 189 605 $,Dur (ext.)
04/01/2016,"Aircel Chennai Open, Chennai",ATP 250,425 535 $,Dur (ext.)
11/01/2016,"Apia International Sydney, Sydney",ATP 250,404 780 $,Dur (ext.)
11/01/2016,"ASB Classic, Auckland",ATP 250,463 520 $,Dur (ext.)
18/01/2016,"Australian Open, Melbourne",G. Chelem,19 703 000 AU$,Dur (ext.)
01/02/2016,"Open Sud de France, Montpellier",ATP 250,463 520 €,Dur (int.)
01/02/2016,"Garanti Koza Sofia Open, Sofia",ATP 250,463 520 €,Dur (int.)
01/02/2016,"Ecuador Open, Quito",ATP 250,463 520 $,Terre (ext.)
08/02/2016,"ABN AMRO World Tennis Tournament, Rotterdam",ATP 500,1 597 155 €,Dur (int.)
08/02/2016,"Argentina Open, Buenos Aires",ATP 250,523 470 $,Terre (ext.)
08/02/2016,"Memphis Open, Memphis",ATP 250,618 030 $,Dur (int.)
15/02/2016,"Rio Open presented by Claro, Rio de Janeiro",ATP 500,1 333 085 $,Terre (ext.)
15/02/2016,"Open 13 Provence, Marseille",ATP 250,596 790 €,Dur (int.)
15/02/2016,"Delray Beach Open, Delray Beach",ATP 250,514 065 $,Dur (ext.)
22/02/2016,"Dubai Duty Free Tennis Championships, Dubaï",ATP 500,2 249 215 $,Dur (ext.)
22/02/2016,"Abierto Mexicano Telcel por HSBC, Acapulco",ATP 500,1 413 600 $,Dur (ext.)
22/02/2016,"Brasil Open, São Paulo",ATP 250,436 220 $,Terre (ext.)
10/03/2016,"BNP Paribas Open, Indian Wells",Masters 1000,6 134 605 $,Dur (ext.)
23/03/2016,"Miami Open presented by Itaú, Miami",Masters 1000,6 134 605 $,Dur (ext.)
04/04/2016,"Grand Prix Hassan II, Marrakech",ATP 250,463 520 €,Terre (ext.)
04/04/2016,"Fayez Sarofim & Co. U.S. Men's Clay Court Championship, Houston",ATP 250,515 025 $,Terre (ext.)
10/04/2016,"Monte-Carlo Rolex Masters, Monte-Carlo",Masters 1000,3 748 925 €,Terre (ext.)
18/04/2016,"Barcelona Open Banc Sabadell, Barcelone",ATP 500,2 152 690 €,Terre (ext.)
18/04/2016,"BRD Nastase Tiriac Trophy, Bucarest",ATP 250,463 520 €,Terre (ext.)
25/04/2016,"BMW Open by FWU AG, Munich",ATP 250,463 520 €,Terre (ext.)
25/04/2016,"Millennium Estoril Open, Estoril",ATP 250,463 520 €,Terre (ext.)
25/04/2016,"TEB BNP Paribas Istanbul Open, Istanbul",ATP 250,426 530 €,Terre (ext.)
02/05/2016,"Mutua Madrid Open, Madrid",Masters 1000,4 771 360 €,Terre (ext.)
09/05/2016,"Internazionali BNL d'Italia, Rome",Masters 1000,3 748 925 €,Terre (ext.)
15/05/2016,"Banque Eric Sturdza Geneva Open, Genève",ATP 250,499 645 €,Terre (ext.)
15/05/2016,"Open de Nice Côte d'Azur, Nice",ATP 250,463 520 €,Terre (ext.)
22/05/2016,"Roland-Garros, Paris",G. Chelem,16 008 750 €,Terre (ext.)
06/06/2016,"Ricoh Open, Bois-le-Duc",ATP 250,566 525 €,Gazon (ext.)
06/06/2016,"Mercedes Cup, Stuttgart",ATP 250,606 525 €,Gazon (ext.)
13/06/2016,"Gerry Weber Open, Halle (Westf.)",ATP 500,1 700 610 €,Gazon (ext.)
13/06/2016,"Aegon Championships, Londres",ATP 500,1 802 945 €,Gazon (ext.)
19/06/2016,"Aegon Open Nottingham, Nottingham",ATP 250,648 255 €,Gazon (ext.)
27/06/2016,"The Championships, Wimbledon, Londres",G. Chelem,13 163 000 £,Gazon (ext.)
11/07/2016,"German Tennis Championships, Hambourg",ATP 500,1 388 830 €,Terre (ext.)
11/07/2016,"Hall of Fame Tennis Championships, Newport",ATP 250,515 025 $,Gazon (ext.)
11/07/2016,"SkiStar Swedish Open, Båstad",ATP 250,463 520 €,Terre (ext.)
18/07/2016,"Citi Open, Washington D.C.",ATP 500,1 629 475 $,Dur (ext.)
18/07/2016,"Konzum Croatia Open Umag, Umag",ATP 250,463 520 €,Terre (ext.)
18/07/2016,"J. Safra Sarasin Swiss Open Gstaad, Gstaad",ATP 250,463 520 €,Terre (ext.)
18/07/2016,"Generali Open, Kitzbühel",ATP 250,463 520 €,Terre (ext.)
25/07/2016,"Rogers Cup, Toronto",Masters 1000,4 089 740 $,Dur (ext.)
