03/01/2000,"AAPT Championships, Adélaïde",Int' Series,325 000 $,Dur (ext.)
03/01/2000,"Gold Flake Open, Chennai",Int' Series,405 000 $,Dur (ext.)
03/01/2000,"Qatar Mobil Open, Doha",Int' Series,975 000 $,Dur (ext.)
10/01/2000,"Heineken Open, Auckland",Int' Series,325 000 $,Dur (ext.)
10/01/2000,"Adidas International, Sydney",Int' Series,325 000 $,Dur (ext.)
17/01/2000,"Australian Open, Melbourne",G. Chelem,3 864 414 $,Dur (ext.)
07/02/2000,"Dubai Open, Dubaï",Int' Series,975 000 $,Dur (ext.)
07/02/2000,"Open 13, Marseille",Int' Series,475 000 $,Dur (int.)
07/02/2000,"Sybase Open, San José",Int' Series,350 000 $,Dur (int.)
14/02/2000,"Kroger St. Jude, Memphis",Series Gold,700 000 $,Dur (int.)
14/02/2000,"ABN AMRO World Tennis Tournament, Rotterdam",Series Gold,750 000 $,Dur (int.)
21/02/2000,"AXA Cup, Londres",Series Gold,700 000 $,Dur (int.)
21/02/2000,"Abierto Mexicano Telcel, Mexico",Series Gold,700 000 $,Terre (ext.)
28/02/2000,"Copenhagen Open, Copenhague",Int' Series,325 000 $,Dur (int.)
28/02/2000,"Citrix Tennis Championships, Delray Beach",Int' Series,325 000 $,Dur (ext.)
28/02/2000,"Chevrolet Cup, Santiago",Int' Series,350 000 $,Terre (ext.)
06/03/2000,"Cerveza Club Colombia Open, Bogota",Int' Series,350 000 $,Terre (ext.)
06/03/2000,"Franklin Templeton Tennis Classic, Scottsdale",Int' Series,350 000 $,Dur (ext.)
13/03/2000,"Tennis Masters Series Indian Wells, Indian Wells",Masters Series,2 450 000 $,Dur (ext.)
20/03/2000,"Ericsson Championships, Miami",Masters Series,2 700 000 $,Dur (ext.)
10/04/2000,"Galleryfurniture.com Tennis Challenge, Atlanta",Int' Series,350 000 $,Terre (ext.)
10/04/2000,"Grand-Prix Hassan II, Casablanca",Int' Series,325 000 $,Terre (ext.)
10/04/2000,"Estoril Open, Estoril",Int' Series,600 000 $,Terre (ext.)
17/04/2000,"Tennis Masters Series - Monte-Carlo, Monte-Carlo",Masters Series,2 450 000 $,Terre (ext.)
24/04/2000,"Open Seat Godó, Barcelone",Series Gold,900 000 $,Terre (ext.)
01/05/2000,"Mallorca Open, Palma de Majorque",Int' Series,475 000 $,Terre (ext.)
01/05/2000,"BMW Open, Munich",Int' Series,375 000 $,Terre (ext.)
01/05/2000,"US Men's Clay Court Championship, Orlando",Int' Series,325 000 $,Terre (ext.)
08/05/2000,"Italian Open, Rome",Masters Series,2 450 000 $,Terre (ext.)
15/05/2000,"German International Championships, Hambourg",Masters Series,2 450 000 $,Terre (ext.)
22/05/2000,"International Raiffeisen Grand Prix, Sankt Pölten",Int' Series,400 000 $,Terre (ext.)
29/05/2000,"Roland-Garros, Paris",G. Chelem,4 564 505 $,Terre (ext.)
12/06/2000,"Gerry Weber Open, Halle (Westf.)",Int' Series,975 000 $,Gazon (ext.)
12/06/2000,"The Stella Artois Championships, Londres",Int' Series,775 000 $,Gazon (ext.)
19/06/2000,"?, Nottingham",Int' Series,350 000 $,Gazon (ext.)
19/06/2000,"Heineken Trophy, Bois-le-Duc",Int' Series,375 000 $,Gazon (ext.)
26/06/2000,"The Championships, Wimbledon",G. Chelem,5 564 842 $,Gazon (ext.)
10/07/2000,"Swedish Open, Båstad",Int' Series,350 000 $,Terre (ext.)
10/07/2000,"UBS Open, Gstaad",Int' Series,600 000 $,Terre (ext.)
10/07/2000,"Miller Lite Hall of Fame Championships, Newport (RI)",Int' Series,350 000 $,Gazon (ext.)
17/07/2000,"Dutch Open, Amsterdam",Int' Series,375 000 $,Terre (ext.)
17/07/2000,"Mercedes Cup, Stuttgart",Series Gold,900 000 $,Terre (ext.)
17/07/2000,"Croatia Open, Umag",Int' Series,375 000 $,Terre (ext.)
24/07/2000,"Generali Open, Kitzbühel",Series Gold,700 000 $,Terre (ext.)
24/07/2000,"Mercedes-Benz Cup, Los Angeles",Int' Series,350 000 $,Dur (ext.)
24/07/2000,"Internazionali di Tennis di San Marino, Saint-Marin",Int' Series,325 000 $,Terre (ext.)
31/07/2000,"du Maurier Open, Toronto",Masters Series,2 450 000 $,Dur (ext.)
07/08/2000,"Tennis Masters Series Cincinnati, Cincinnati",Masters Series,2 450 000 $,Dur (ext.)
14/08/2000,"RCA Championships, Indianapolis",Series Gold,700 000 $,Dur (ext.)
14/08/2000,"Legg Mason Tennis Classic, Washington",Series Gold,700 000 $,Dur (ext.)
21/08/2000,"Hamlet Cup, Long Island",Int' Series,390 200 $,Dur (ext.)
28/08/2000,"US Open, Flushing Meadows",G. Chelem,6 467 000 $,Dur (ext.)
11/09/2000,"Gelsor Open Romania, Bucarest",Int' Series,350 000 $,Terre (ext.)
11/09/2000,"President's Cup, Tachkent",Int' Series,500 000 $,Dur (ext.)
18/09/2000,"2000 Summer Olympic Tennis Event, Sydney",J. Olympiques,NC $,Dur (ext.)
25/09/2000,"Internazionali di Sicilia Freedomland Cup, Palerme",Int' Series,350 000 $,Terre (ext.)
02/10/2000,"Salem Open, Hong Kong",Int' Series,350 000 $,Dur (ext.)
09/10/2000,"Japan Open Tennis Championships, Tokyo",Series Gold,700 000 $,Dur (ext.)
09/10/2000,"CA Tennis Trophy, Vienne",Series Gold,700 000 $,Dur (int.)
16/10/2000,"Heineken Open, Shanghai",Int' Series,350 000 $,Dur (ext.)
16/10/2000,"Adidas Open, Toulouse",Int' Series,375 000 $,Dur (int.)
23/10/2000,"Davidoff Swiss Indoors Basel, Bâle",Int' Series,975 000 $,Moquette (int.)
23/10/2000,"Kremlin Cup, Moscou",Int' Series,975 000 $,Moquette (int.)
30/10/2000,"Stuttgart Masters, Stuttgart",Masters Series,2 450 000 $,Dur (int.)
06/11/2000,"Grand Prix de tennis de Lyon, Lyon",Int' Series,775 000 $,Moquette (int.)
06/11/2000,"St. Petersburg Open, Saint-Pétersbourg",Int' Series,775 000 $,Dur (int.)
13/11/2000,"Masters de Paris-Bercy, Paris",Masters Series,2 450 000 $,Moquette (int.)
20/11/2000,"The Samsung Open, Brighton",Int' Series,375 000 $,Dur (int.)
20/11/2000,"Scania Stockholm Open, Stockholm",Int' Series,775 000 $,Dur (int.)
27/11/2000,"Tennis Masters Cup, Lisbonne",Masters,3 700 000 $,Dur (int.)
