01/01/2017,"Brisbane International presented by Suncorp, Brisbane",ATP 250,437 380 $,Dur (ext.)
02/01/2017,"Aircel Chennai Open, Chennai",ATP 250,447 480 $,Dur (ext.)
02/01/2017,"Qatar ExxonMobil Open, Doha",ATP 250,1 237 190 $,Dur (ext.)
08/01/2017,"Apia International Sydney, Sydney",ATP 250,437 380 $,Dur (ext.)
09/01/2017,"ASB Classic, Auckland",ATP 250,450 110 $,Dur (ext.)
16/01/2017,"Australian Open, Melbourne",G. Chelem,22 624 000 AU$,Dur (ext.)
06/02/2017,"Open Sud de France, Montpellier",ATP 250,482 060 €,Dur (int.)
06/02/2017,"Ecuador Open, Quito",ATP 250,482 060 $,Terre (ext.)
06/02/2017,"Garanti Koza Sofia Open, Sofia",ATP 250,482 060 €,Dur (int.)
13/02/2017,"ABN AMRO World Tennis Tournament, Rotterdam",ATP 500,1 724 930 €,Dur (int.)
13/02/2017,"Argentina Open, Buenos Aires",ATP 250,546 680 $,Terre (ext.)
13/02/2017,"Memphis Open, Memphis",ATP 250,642 750 $,Dur (int.)
20/02/2017,"Rio Open presented by Claro, Rio de Janeiro",ATP 500,1 461 560 $,Terre (ext.)
20/02/2017,"Delray Beach Open, Delray Beach",ATP 250,534 625 $,Dur (ext.)
20/02/2017,"Open 13 Provence, Marseille",ATP 250,620 660 €,Dur (int.)
27/02/2017,"Abierto Mexicano Telcel, Acapulco",ATP 500,1 491 310 $,Dur (ext.)
27/02/2017,"Dubai Duty Free Tennis Championships, Dubaï",ATP 500,2 429 150 $,Dur (ext.)
27/02/2017,"Brasil Open, São Paulo",ATP 250,455 565 $,Terre (ext.)
09/03/2017,"BNP Paribas Open, Indian Wells",Masters 1000,6 993 450 $,Dur (ext.)
22/03/2017,"Miami Open presented by Itaú, Miami",Masters 1000,6 993 450 $,Dur (ext.)
10/04/2017,"F. Sarofim & Co. US Men's Clay Court Championship, Houston",ATP 250,535 625 $,Terre (ext.)
10/04/2017,"Grand Prix Hassan II, Marrakech",ATP 250,482 060 €,Terre (ext.)
16/04/2017,"Monte-Carlo Rolex Masters, Monte-Carlo",Masters 1000,4 273 775 €,Terre (ext.)
24/04/2017,"Barcelona Open Banc Sabadell, Barcelone",ATP 500,2 324 905 €,Terre (ext.)
24/04/2017,"Gazprom Hungarian Open, Budapest",ATP 250,482 060 €,Terre (ext.)
01/05/2017,"Millennium Estoril Open, Estoril",ATP 250,482 060 €,Terre (ext.)
01/05/2017,"TEB BNP Paribas Istanbul Open, Istanbul",ATP 250,439 005 €,Terre (ext.)
01/05/2017,"BMW Open by FWU, Munich",ATP 250,482 060 €,Terre (ext.)
07/05/2017,"Mutua Madrid Open, Madrid",Masters 1000,5 439 350 €,Terre (ext.)
14/05/2017,"Internazionali BNL d'Italia, Rome",Masters 1000,4 273 775 €,Terre (ext.)
21/05/2017,"Banque Eric Sturdza Geneva Open, Genève",ATP 250,482 060 €,Terre (ext.)
21/05/2017,"Open Parc Auvergne-Rhône-Alpes, Lyon",ATP 250,482 060 €,Terre (ext.)
28/05/2017,"Roland-Garros, Paris",G. Chelem,16 790 000 €,Terre (ext.)
12/06/2017,"Ricoh Open, Bois-le-Duc",ATP 250,589 185 €,Gazon (ext.)
12/06/2017,"MercedesCup, Stuttgart",ATP 250,630 785 €,Gazon (ext.)
19/06/2017,"Gerry Weber Open, Halle (Westf.)",ATP 500,1 836 660 €,Gazon (ext.)
19/06/2017,"Aegon Championships, Londres",ATP 500,1 836 660 €,Gazon (ext.)
25/06/2017,"Antalya Open, Antalya",ATP 250,439 005 €,Gazon (ext.)
26/06/2017,"Aegon International, Eastbourne",ATP 250,635 660 €,Gazon (ext.)
03/07/2017,"The Championships, Wimbledon, Wimbledon",G. Chelem,14 840 000 £,Gazon (ext.)
17/07/2017,"SkiStar Swedish Open, Båstad",ATP 250,482 060 €,Terre (ext.)
17/07/2017,"Dell Technologies Hall of Fame Open, Newport",ATP 250,535 625 $,Gazon (ext.)
17/07/2017,"Plava Laguna Croatia Open, Umag",ATP 250,482 060 €,Terre (ext.)
24/07/2017,"German Tennis Championships, Hambourg",ATP 500,1 499 940 €,Terre (ext.)
24/07/2017,"BB&T Atlanta Open, Atlanta",ATP 250,642 750 $,Dur (ext.)
24/07/2017,"J. Safra Sarasin Swiss Open, Gstaad",ATP 250,482 060 €,Terre (ext.)
31/07/2017,"Citi Open, Washington D.C.",ATP 500,1 750 080 $,Dur (ext.)
31/07/2017,"Generali Open, Kitzbühel",ATP 250,482 060 €,Terre (ext.)
31/07/2017,"Abierto Mexicano de Tenis Mifel presentado por Cinemex, Cabo San Lucas",ATP 250,637 395 $,Dur (ext.)
07/08/2017,"Coupe Rogers présentée par Banque Nationale, Montréal",Masters 1000,4 662 300 $,Dur (ext.)
13/08/2017,"Western & Southern Open, Cincinnati",Masters 1000,4 973 120 $,Dur (ext.)
20/08/2017,"Winston-Salem Open, Winston-Salem",ATP 250,664 825 $,Dur (ext.)
28/08/2017,"US Open, Flushing Meadows",G. Chelem,24 193 400 $,Dur (ext.)
18/09/2017,"Moselle Open, Metz",ATP 250,482 060 €,Dur (int.)
18/09/2017,"St. Petersburg Open, Saint-Pétersbourg",ATP 250,1 000 000 $,Dur (int.)
25/09/2017,"Chengdu Open, Chengdu",ATP 250,1 028 885 $,Dur (ext.)
25/09/2017,"Shenzhen Open, Shenzhen",ATP 250,666 960 $,Dur (ext.)
02/10/2017,"China Open, Pékin",ATP 500,3 028 080 $,Dur (ext.)
02/10/2017,"Rakuten Japan Open Tennis Championships, Tokyo",ATP 500,1 563 795 $,Dur (ext.)
08/10/2017,"Shanghai Rolex Masters, Shanghai",Masters 1000,5 924 890 $,Dur (ext.)
16/10/2017,"European Open, Anvers",ATP 250,589 185 €,Dur (int.)
